item_id;name;description;category_id;type_id;tier_number;is_schematic;is_global;icon;;;;;;;;;;;;;
item_355;Heavy Darts;For use in larger and more powerful weapons, Heavy Darts are standard ammunition and can pierce certain types of armor.;80;870;2;FALSE;FALSE;t_ui_iconresourceheavydartammor_d.webp;;;;;;;;;;;;;
item_306;Incendiary Gel;Few weapons inspire the type of fear created by fire. Use this ammunition in conjunction with incendiary weapons to instill maximum terror in your adversaries.;80;870;4;FALSE;FALSE;t_ui_iconresourceincendiarygelr_d.webp;;;;;;;;;;;;;
item_424;Light Darts;When Holtzman shields were introduced the use of lasguns became too dangerous and subsequently, the use of dart projectiles became the standard ammunition of House Troops and other military forces.;80;870;0;FALSE;FALSE;t_ui_iconresourcelightdartammor_d.webp;;;;;;;;;;;;;
item_348;Missile;A missile projectile that is typically utilized by infantry missile launchers.;80;870;6;FALSE;FALSE;t_ui_iconresourcehandguidedmissiler_d.webp;;;;;;;;;;;;;
item_297;Rocket;A rocket projectile with an explosive warhead and a propellant for extra thrust. Typically utilized by vehicular rocket launchers.;80;870;5;FALSE;FALSE;t_ui_iconresourcevehiclerocketammor_d.webp;;;;;;;;;;;;;
item_916;Welding Wire;Welding material is required when using the welding torch to repair vehicle parts. Crafted from salvaged metal parts.;80;870;1;FALSE;FALSE;t_ui_iconresourceweldingwirer_d.webp;;;;;;;;;;;;;
item_535;Assault Ornithopter Cabin Mk5;Enclosed cabin for the Assault Ornithopter. Includes seating for two passengers. Use a Welding Torch to attach the cabin to an Assault Ornithopter Chassis.;70;720;5;FALSE;FALSE;t_ui_iconvehcmohullr_d.webp;;;;;;;;;;;;;
item_536;Assault Ornithopter Cabin Mk6;Enclosed cabin for the Assault Ornithopter. Includes seating for two passengers. Use a Welding Torch to attach the cabin to an Assault Ornithopter Chassis.;70;720;6;FALSE;FALSE;t_ui_iconvehcmohullr_d.webp;;;;;;;;;;;;;
item_529;Assault Ornithopter Chassis Mk5;The chassis is the starting point for assembling vehicles as it provides the base framework to which all other components are attached. Use a Welding Torch to place the Assault Ornithopter chassis.;70;720;5;FALSE;FALSE;t_ui_iconvehcmochassisr_d.webp;;;;;;;;;;;;;
item_530;Assault Ornithopter Chassis Mk6;The chassis is the starting point for assembling vehicles as it provides the base framework to which all other components are attached. Use a Welding Torch to place the Assault Ornithopter chassis.;70;720;6;FALSE;FALSE;t_ui_iconvehcmochassisr_d.webp;;;;;;;;;;;;;
item_539;Assault Ornithopter Cockpit Mk5;Enclosed cockpit for the Assault Ornithopter. Includes seating for the pilot and co-pilot. Use a Welding Torch to attach the cockpit to an Assault Ornithopter Chassis.;70;720;5;FALSE;FALSE;t_ui_iconvehcmocockpitr_d.webp;;;;;;;;;;;;;
item_540;Assault Ornithopter Cockpit Mk6;Enclosed cockpit for the Assault Ornithopter. Includes seating for the pilot and co-pilot. Use a Welding Torch to attach the cockpit to an Assault Ornithopter Chassis.;70;720;6;FALSE;FALSE;t_ui_iconvehcmocockpitr_d.webp;;;;;;;;;;;;;
item_531;Assault Ornithopter Engine Mk5;Defines the maximum speed of an Assault Ornithopter. Use a Welding Torch to attach the engine to an Assault Ornithopter Chassis.;70;720;5;FALSE;FALSE;t_ui_iconvehcmoenginer_d.webp;;;;;;;;;;;;;
item_532;Assault Ornithopter Engine Mk6;Defines the maximum speed of an Assault Ornithopter. Use a Welding Torch to attach the engine to an Assault Ornithopter Chassis.;70;720;6;FALSE;FALSE;t_ui_iconvehcmoenginer_d.webp;;;;;;;;;;;;;
item_533;Assault Ornithopter Generator Mk5;Defines the power efficiency and manages the heat dissipation for an Assault Ornithopter. Use a Welding Torch to attach the generator to an Assault Ornithopter Chassis.;70;720;5;FALSE;FALSE;t_ui_iconvehcmopsur_d.webp;;;;;;;;;;;;;
item_534;Assault Ornithopter Generator Mk6;Defines the power efficiency and manages the heat dissipation for an Assault Ornithopter. Use a Welding Torch to attach the generator to an Assault Ornithopter Chassis.;70;720;6;FALSE;FALSE;t_ui_iconvehcmopsur_d.webp;;;;;;;;;;;;;
item_542;Assault Ornithopter Rocket Launcher Mk5;Adds a rocket launcher to an Assault Ornithopter. Use a Welding Torch to attach the rocket launcher to the Assault Ornithopter Cabin.;70;720;5;FALSE;FALSE;t_ui_iconvehcomrocketlauncherr_d.webp;;;;;;;;;;;;;
item_543;Assault Ornithopter Rocket Launcher Mk6;Adds a rocket launcher to an Assault Ornithopter. Use a Welding Torch to attach the rocket launcher to the Assault Ornithopter Cabin.;70;720;6;FALSE;FALSE;t_ui_iconvehcomrocketlauncherr_d.webp;;;;;;;;;;;;;
item_541;Assault Ornithopter Storage Mk5;Optional Old Imperial module that adds inventory storage to an Assault Ornithopter. Use a Welding Torch to attach it to an Assault Ornithopter Body Hull.;70;720;5;FALSE;FALSE;t_ui_iconvehcominventoryr_d.webp;;;;;;;;;;;;;
item_537;Assault Ornithopter Tail Mk5;Adds a protective layer to the rear of the Assault Ornithopter. Use a Welding Torch to attach the tail to an Assault Ornithopter Chassis.;70;720;5;FALSE;FALSE;t_ui_iconvehcmotailr_d.webp;;;;;;;;;;;;;
item_538;Assault Ornithopter Tail Mk6;Adds a protective layer to the rear of the Assault Ornithopter. Use a Welding Torch to attach the tail to an Assault Ornithopter Chassis.;70;720;6;FALSE;FALSE;t_ui_iconvehcmotailr_d.webp;;;;;;;;;;;;;
item_525;Assault Ornithopter Thruster Mk5;Adds a thrust ability to an Assault Ornithopter. Thrusters provide a triggerable burst of acceleration and increased maximum speed. Thrusters have a fixed duration and cooldown time. Use a Welding Torch to attach it to an Assault Ornithopter Cabin.;70;720;5;FALSE;FALSE;t_ui_iconvehcmoboostr_d.webp;;;;;;;;;;;;;
item_526;Assault Ornithopter Thruster Mk6;Adds a thrust ability to an Assault Ornithopter. Thrusters provide a triggerable burst of acceleration and increased maximum speed. Thrusters have a fixed duration and cooldown time. Use a Welding Torch to attach it to an Assault Ornithopter Cabin.;70;720;6;FALSE;FALSE;t_ui_iconvehcmoboostr_d.webp;;;;;;;;;;;;;
item_544;Assault Ornithopter Wing Mk5;A wing assembly that provides aerodynamic lift for an Assault Ornithopter. Use a Welding Torch to attach the wings to the Cabin of an ornithopter. All attached wings must be of the same type.;70;720;5;FALSE;FALSE;t_ui_iconvehcmowingsr_d.webp;;;;;;;;;;;;;
item_545;Assault Ornithopter Wing Mk6;A wing assembly that provides aerodynamic lift for an Assault Ornithopter. Use a Welding Torch to attach the wings to the Cabin of an ornithopter. All attached wings must be of the same type.;70;720;6;FALSE;FALSE;t_ui_iconvehcmowingsr_d.webp;;;;;;;;;;;;;
item_546;Hummingbird Wing Module Mk5;This Unique wing was developed during the Harkonnen stewardship of Arrakis, before the current War of Assassins. The Fremen were fond of raiding Harkonnen bases and stealing these Ornithopters, then using them in kamikaze attacks on harvesting operations.;70;720;5;TRUE;FALSE;t_ui_iconvehcmowingsr_d.webp;;;;;;;;;;;;;
